序号,标题/微博内容,情感分析1,情感分析2,原文/评论链接,来源网站,日期,媒体类型,原文作者,信息属性,摘要,信源地域,精准地域,信源级别,行业标签,相似文章数,原创/转发,账号类型,涉及词,评论作者,转发数,评论数,点赞数,粉丝数,阅读数,主页链接,收藏数,
4249,#辽宁驰援上海2300吨生活物资#现在东北这么难，还起早贪黑给送物资，结果就把好好的菜扔了（咱不知道是真烂了还是眯下好的了还是纯纯的坏，这波疫情这么久了，还能这么窒息 ​​,愤怒,愤怒,无,http://weibo.com/2579004133/LpiDn9Tw2,新浪微博,2022/4/20 11:57,微博-微博个人号,柠檬星大橘,敏感,#辽宁驰援上海2300吨生活物资#现在东北这么难，还起早贪黑给送物资，结果就把好好的菜扔了（咱不知道是真烂了还是眯下好的了还是纯纯的坏，这波疫情这么久了，还能这么窒息 ​​,北京,"上海市,辽宁省",未定义,其他,1,原创,普通,,无,0,0,0,353,0,无,0
3397,#上海市疫情近几日呈下降趋势#这都有人信吗[裂开]我们小区可天天有�呢[doge] ​​,厌恶,厌恶,无,http://weibo.com/5838400573/Lpjgzfehs,新浪微博,2022/4/20 13:33,微博-微博个人号,IvyCoisini,非敏感,#上海市疫情近几日呈下降趋势#这都有人信吗[裂开]我们小区可天天有�呢[doge] ​​,上海,上海市,未定义,其他,1,原创,普通,,无,0,0,0,2435,0,无,0
2554,红玫瑰的“余温”尚存，苏宁易购却已“重磅登场”；上海一周内2起聚集性疫情爆发！徐汇区的美发店整出15只�，密切接触1380人，涉及全市15个区，排查474296人！杨浦五角场的商场整出28只�，已管控12.6万人……  ​ ​​,恐惧,惊讶,无,http://weibo.com/1660435020/LxyRq3hxL,新浪微博,2022/6/13 19:58,微博-微博个人号,夏天四叶草baby,敏感,红玫瑰的“余温”尚存，苏宁易购却已“重磅登场”；上海一周内2起聚集性疫情爆发！徐汇区的美发店整出15只�，密切接触1380人，涉及全市15个区，排查474296人！杨浦五角场的商场整出28只�，已管控12.6万人…… ​ ​​,上海,"上海市,徐汇区,杨浦区",未定义,其他,2,原创,达人,,无,0,0,0,522,0,无,0
2150,#上海新增本土确诊9例无症状130例##杭州本轮疫情为今年以来最严峻最复杂的一次# 越来越夸张了，摊子好大。 ​​,悲伤,厌恶,无,http://weibo.com/6720260209/LjOfO6IsX,新浪微博,2022/3/15 9:25,微博-微博个人号,潮嘲小锦鲤,敏感,#上海新增本土确诊9例无症状130例##杭州本轮疫情为今年以来最严峻最复杂的一次# 越来越夸张了，摊子好大。 ​​,浙江,"上海市,浙江省,杭州市",未定义,其他,1,原创,普通,,无,0,0,0,33,0,无,0
,【#上海一企业供保物资为三无产品# ，市场监管局：列入严重违法企业】近日，上海，闵行区江川街道发放的保供物资中酱鸭存在两个生产日期、白砂糖为三无产品，宝山区顾村镇发放的保供物资中“苏星四季”大米存在异味，被松江区市场监督管理局列入严重违法企业。据查，上述问题酱鸭、白砂糖、大米的供应商均为上海戎阳超市管理有限公司。根据企查查APP公开信息显示：该公司法人代表为陈纪才，注册资本1000万人民币，其经营范围包括各类工程建设活动；食品经营等。此外，该公司曾多次被行政处罚，罚款总金额近10万元。且上海戎阳超市管理有限公司在多次的双随机抽查和抽查检查中皆存在不合格记录。#上海疫情# #上海一企业供保物资为三无产品被列入严重违法# http://t.cn/A6awKsAA,中性,信任,无,http://weibo.com/5816161945/LyzS2sjOW,新浪微博,2022/6/20 12:22,微博-微博金V号,北京大峰峰,敏感,【#上海一企业供保物资为三无产品# ，市场监管局：列入严重违法企业】近日，上海，闵行区江川街道发放的保供物资中酱鸭存在两个生产日期、白砂糖为三无产品，宝山区顾村镇发放的保供物资中“苏星四季”大米存在异味，被松江区市场监督管理局列入严重违法企业。据查，上述问题酱鸭、白砂糖、大米的供应商均为上海戎阳超市,北京,"上海市,闵行区,宝山区",中小,政务,1,原创,金V,,无,0,5,0,379366,0,无,0
4286,#上海两区首日达到社会面清零目标#如何理解社会面清零？清不了零，就清社会面啊，大家都封着，自然没有社会面新增了。Lock down may end by May end or may not end by May end as it may extend. But May will end by May end even if lock down may not end.#微博新知博主# #v光计划# ​​,厌恶,厌恶,无,http://weibo.com/1493497637/LpiBZcNkq,新浪微博,2022/4/20 11:53,微博-微博金V号,Kevin_Zhang_at_知乎,非敏感,#上海两区首日达到社会面清零目标#如何理解社会面清零？清不了零，就清社会面啊，大家都封着，自然没有社会面新增了。Lock down may end by May end or may not end by May end as it may extend. But May will end by M,上海,上海市,中小,其他,1,原创,橙V,,无,0,0,0,20512,0,无,0
2090,上海6月13日新增本土确诊病例3例、本土无症状感染者14例据“健康上海12320”微信公众号，2022年6月13日0—24时，新增本土新冠肺炎确诊病例3例和无症状感染者14例，其中3例确诊病例和13例无症状感染者在隔离管控中发现。新增境外输入性新冠肺炎确诊病例2例和无症状感染者1例，均在闭环管控中发现。本土病例情况2022年6月13日0—24时，新增本土新冠肺炎确诊病例3例。新增治愈出院23例。病例1，居住于浦东新区，病例2、病例3，居住于徐汇区，为本市闭环隔离管控人员，其间新冠病毒核酸检测结果异常，经疾控中心复核结果为阳性。经市级专家会诊，综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。本土无症状感染者情况2022年6月13日0—24时，新增本土无症状感染者14例。无症状感染者1，居住于浦东新区，无症状感染者2—无症状感染者6，居住于徐汇区，无症状感染者7、无症状感染者8，居住于静安区，无症状感染者9，居住于虹口区，无症状感染者10，居住于杨浦区，无症状感染者11、无症状感染者12，居住于宝山区，无症状感染者13，居住于嘉定区，均为本市闭环隔离管控人员，其间新冠病毒核酸检测结果异常，经疾控中心复核结果为阳性，诊断为无症状感染者。无症状感染者14，居住于宝山区，在风险人群筛查中发现新冠病毒核酸检测结果异常，即被隔离管控。经疾控中心复核结果为阳性，诊断为无症状感染者。（6月13日已通报）境外输入病例情况2022年6月13日0—24时，通过口岸联防联控机制，报告2例境外输入性新冠肺炎确诊病例。病例1为中国籍，在美国留学，自美国出发，于2022年6月5日抵达上海浦东国际机场，入关后即被集中隔离观察，其间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。病例2为中国籍，在英国留学，自英国出发，经芬兰转机，于2022年6月10日抵达上海浦东国际机场，入关后即被集中隔离观察，其间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。2例境外输入性确诊病例已转至定点医疗机构救治，同航班密切接触者此前均已落实集中隔离观察。境外输入性无症状感染者情况2022年6月13日0—24时，新增境外输入性无症状感染者1例。该无症状感染者为中国籍，在美国留学，自美国出发，于2022年6月11日抵达上海浦东国际机场,中性,惊讶,无,http://weibo.com/5588471255/LxDOyoziL,新浪微博,2022/6/14 8:34,微博-微博个人号,水城街拍,敏感,上海6月13日新增本土确诊病例3例、本土无症状感染者14例据“健康上海12320”微信公众号，2022年6月13日0—24时，新增本土新冠肺炎确诊病例3例和无症状感染者14例，其中3例确诊病例和13例无症状感染者在隔离管控中发现。新增境外输入性新冠肺炎确诊病例2例和无症状感染者1例，均在闭环管控中发,河北,"上海市,浦东新区,宝山区",未定义,其他,1,原创,普通,,无,0,0,0,22169,0,无,0
63,周末的信息量比较大，提前码一下，有啥新的明早再看。4月份的数据出来了，差，市场对这个差都有预期的，算靴子落地吧。一定程度上，也可以转为对后续财政和货币政策的预期，以及行业扶持政策的预期。除了这个利空落地外，政策持续发力，这句话都说出茧子了：政策发力已经到了右侧。首先是宏观面上，SDR人民币特别提款权提升，这个前面我也码了一条。落地要在8.1日，一定程度上，尤其是长期来看，有助于提高外资对人民币资产的配置偏好。市场制度建设方面，科创板的做市商制度千呼万唤始出来。按照文件的指引，全国有26家券商符合做市条件。从沙盘推演来看，做市商先会进场拿筹码。同步科创板的ETF品种和规模也会扩容。而随着交易量的上升，外资和量化也会跟进。在流动性稳定，估值结构合理，市场运行正常后，我们可以预期门槛的松动，以及T+0的试行。这都是科创板改革中比较强的预期。情绪方面，从3月以来，上海疫情一直是市场的抑制因素。周末上海方面也宣布，将逐步有序地恢复正常。从趋势上看，上海自然是逐步向好，但不排除还会有局部的反复，坚持动态清零就好。关键是未来的常态化核酸，能否具备行之有效的机制去落实，实现早筛查早发现。对应二级市场，消费复苏和复工复产的预期已经比较强了，股票也涨了一段。全国未来的疾控策略，周末的联防联控发布会也说得很清楚了，尽快建立15分钟步行的核酸点覆盖，方舱也同步搞。常态化筛查，阻断早期传播隐秘传播，争取到流调的时间。且同步会推进疫苗接种和药物研发。如果能全国一盘棋一个标准执行，那么后续拿着48小时核算结果通行境内，问题应该不大。航空旅游业也存在复苏预期。就怕又出现个别地区的执行短板，破坏整体信任，迫使各地出于自保层层加码。咱跟踪着看吧。地产方面，在房住不炒的框架下执行一城一策，前期已经有不少地方下调了首套房贷的实际执行利率。周末央行统一了口径，首套房5年期以上LPR下调20个基点，原来是4.6%，这意味着在个人住房贷款利率下限下调之后，各地首套房贷利率最多可以低至4.4%。各地最终执行多少，还是看一城一策。但是有些吃像很难看的企业，已经在酝酿调价。所以说，这些个在十万一平房价基础上加杠杆，赌房价二十万一平的企业就不该救。能把风险阻断在银行之外就好了。从复工复产+消费刺激的角度来看，汽车是不二选择。链条长，且中国汽车业正处在电化和智能化戴维斯双击的阶段，刺激短时消费，收获的是长期成长。乘联会对,期待,期待,无,http://weibo.com/7149746880/LtaU5EiF6,新浪微博,2022/5/15 23:37,微博-微博个人号,雪球招财猫,非敏感,周末的信息量比较大，提前码一下，有啥新的明早再看。4月份的数据出来了，差，市场对这个差都有预期的，算靴子落地吧。一定程度上，也可以转为对后续财政和货币政策的预期，以及行业扶持政策的预期。除了这个利空落地外，政策持续发力，这句话都说出茧子了：政策发力已经到了右侧。首先是宏观面上，SDR人民币特别提款权,湖南,上海市,未定义,其他,3,原创,普通,,无,0,0,0,167,0,无,0
1044,#上海疫情#突破，上海首次出现社会面清零：4月29日上海新增本土确诊病例1249例、无症状感染者8932例，其中985例确诊病例为既往无症状感染者转归！上海首次出现社会面清零，是一个巨大突破，绝对的那就可以让更多人出来工作，说明复工复产安排非常合适，没有进一步引起问题。现在各地报外省来人感染还有，但是已经大为下降了。大家共同加油！上海加油！[心][心][心],期待,期待,无,http://weibo.com/6481212998/LqRggrJ9N,新浪微博,2022/4/30 17:56,微博-微博个人号,用户6481212998,中性,#上海疫情#突破，上海首次出现社会面清零：4月29日上海新增本土确诊病例1249例、无症状感染者8932例，其中985例确诊病例为既往无症状感染者转归！上海首次出现社会面清零，是一个巨大突破，绝对的那就可以让更多人出来工作，说明复工复产安排非常合适，没有进一步引起问题。现在各地报外省来人感染还有，但,上海,上海市,未定义,医疗,2,原创,普通,,无,0,0,0,166,0,无,0
1295,跟这个txl吃完饭了，其实现实里觉得他人倒是没有微信里的那么烦，但因为他是思想政治教育这个专业的，我特意问了下他对“上海疫情”和“女性主义”这两个事情的看法他说“上海那么大，肯定会有人得挨饿啊”、“特殊时期了，上海人就别整天想着口味、花样啥的了”，我告诉他其实我就有朋友或在微博里都看到了很多人现在确实面临着物资捉襟见肘的问题，难道他不觉得这是当局的责任吗，他说不觉得，疫情时期都是这样的接着我和他聊到了共青团中央的事情，我问他有没有听说“极端女权”，他说他知道的，前几天就有一个女性朋友在朋友圈里一直发疯，这就是极端女权吧，然后我问他知不知道昨天“独立女性”的事情，他说噢噢不好意思，他不喜欢刷微博，然后他说我也应该少刷一点，觉得大家过好自己的生活就得了，少看点新闻人都能神清气爽一点我开着玩笑和他说你们这个专业的，很有可能就是下一代共青团中央了诶，他说哈哈哈是，他是要成为党中央的人，希望他能有好未来吧。。。。但我真的好失望,悲伤,悲伤,无,http://weibo.com/3478563252/LplLoogH5,新浪微博,2022/4/20 19:55,微博-微博个人号,NotYourBabe030,敏感,跟这个txl吃完饭了，其实现实里觉得他人倒是没有微信里的那么烦，但因为他是思想政治教育这个专业的，我特意问了下他对“上海疫情”和“女性主义”这两个事情的看法他说“上海那么大，肯定会有人得挨饿啊”、“特殊时期了，上海人就别整天想着口味、花样啥的了”，我告诉他其实我就有朋友或在微博里都看到了很多人现在确,四川,上海市,未定义,其他,1,原创,普通,,无,0,0,0,456,0,无,0
3887,#上海疫情#看上海发布的微博觉得好多区都清零了，看上海网友的微博感觉处处是密接[二哈][二哈]。我感觉快要精分了[怒] ​ 广州 ​​,愤怒,愤怒,无,http://weibo.com/5892191088/LwTqw1LRD,新浪微博,2022/6/9 10:29,微博-微博个人号,JA1125,敏感,#上海疫情#看上海发布的微博觉得好多区都清零了，看上海网友的微博感觉处处是密接[二哈][二哈]。我感觉快要精分了[怒] ​ 广州 ​​,广东,上海市,未定义,其他,2,原创,普通,,无,0,0,0,551,0,无,0
3571,#外省入豫多人“被红码”##公安部门正抓捕唐山打人事件嫌疑人##上海疫情# 女性的生命权不能被保障，公民的存款也不能被保障，上海居民正常的看病甚至吃饭的需求不能被保障。嗯。 ​​,厌恶,愤怒,无,http://weibo.com/2785282842/Lxrw0AbFt,新浪微博,2022/6/13 1:16,微博-微博个人号,一只枫喵喵,敏感,#外省入豫多人“被红码”##公安部门正抓捕唐山打人事件嫌疑人##上海疫情# 女性的生命权不能被保障，公民的存款也不能被保障，上海居民正常的看病甚至吃饭的需求不能被保障。嗯。 ​​,黑龙江,"上海市,河北省,唐山市",未定义,"政务,公安",1,原创,普通,,无,0,0,0,173,0,无,0
3183,#上海市疫情近几日呈下降趋势#这些都是在上海市委领导英明的领导下见到的成效，上海东方卫视的抗疫晚会可以开播了[思考] ​​,厌恶,厌恶,无,http://weibo.com/2941803627/Lpjq9bBHc,新浪微博,2022/4/20 13:57,微博-微博金V号,BFTK线向上,非敏感,#上海市疫情近几日呈下降趋势#这些都是在上海市委领导英明的领导下见到的成效，上海东方卫视的抗疫晚会可以开播了[思考] ​​,江苏,上海市,中小,其他,1,原创,橙V,,无,0,0,0,155632,0,无,0
3195,上海疫情是不是又反弹了？忧心忡忡，夏天就要这样过去了吗。。 ​​,悲伤,悲伤,无,http://weibo.com/2094957761/LxvaviFIN,新浪微博,2022/6/13 10:34,微博-微博个人号,莉娜啊_,敏感,上海疫情是不是又反弹了？忧心忡忡，夏天就要这样过去了吗。。 ​​,浙江,上海市,未定义,政务,2,原创,普通,,无,0,0,0,10370,0,无,0
4683,网络小说《查无此人》——献给上海疫情 市政府办公大楼落成，大门口缺副对联，市委书记挥毫写了一副。  上联：说实话办实事一身正气；                                    下联：不贪污不受贿两袖清风！ 市领导们齐喝彩，书记对众人说，谁能出个横批？ 传达室看门大爷脱口而出：查无此人！ 现场气氛，鸦雀无声。当天晚上看门大爷被开除了。         2022年网络小说一等奖。,厌恶,愤怒,无,http://weibo.com/3035183053/LqGqd5CHr,新浪微博,2022/4/29 14:20,微博-微博橙V号,暴富的小祖宗,非敏感,网络小说《查无此人》——献给上海疫情 市政府办公大楼落成，大门口缺副对联，市委书记挥毫写了一副。 上联：说实话办实事一身正气； 下联：不贪污不受贿两袖清风！ 市领导们齐喝彩，书记对众人说，谁能出个横批？ 传达室看门大爷脱口而出：,上海,上海市,中小,"政务,公安",1,原创,橙V,,无,0,0,0,403,0,无,0
